Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.1_fixed_no_traps,AgentA_solo,player,1,1,313,0
3.1_fixed_no_traps,AgentA_solo,player,1,10,297,0
3.1_fixed_no_traps,AgentA_solo,player,1,2,298,0
3.1_fixed_no_traps,AgentA_solo,player,1,3,310,0
3.1_fixed_no_traps,AgentA_solo,player,1,4,310,0
3.1_fixed_no_traps,AgentA_solo,player,1,5,310,0
3.1_fixed_no_traps,AgentA_solo,player,1,6,310,0
3.1_fixed_no_traps,AgentA_solo,player,1,7,311,0
3.1_fixed_no_traps,AgentA_solo,player,1,8,294,0
3.1_fixed_no_traps,AgentA_solo,player,1,9,305,0
3.1_fixed_no_traps,AgentA_solo,player,20,1,223,0
3.1_fixed_no_traps,AgentA_solo,player,20,10,231,0
3.1_fixed_no_traps,AgentA_solo,player,20,2,241,0
3.1_fixed_no_traps,AgentA_solo,player,20,3,229,0
3.1_fixed_no_traps,AgentA_solo,player,20,4,231,0
3.1_fixed_no_traps,AgentA_solo,player,20,5,230,0
3.1_fixed_no_traps,AgentA_solo,player,20,6,229,0
3.1_fixed_no_traps,AgentA_solo,player,20,7,233,0
3.1_fixed_no_traps,AgentA_solo,player,20,8,234,0
3.1_fixed_no_traps,AgentA_solo,player,20,9,229,0
3.1_fixed_no_traps,AgentB_solo,player,1,1,297,0
3.1_fixed_no_traps,AgentB_solo,player,1,10,303,0
3.1_fixed_no_traps,AgentB_solo,player,1,2,324,0
3.1_fixed_no_traps,AgentB_solo,player,1,3,299,0
3.1_fixed_no_traps,AgentB_solo,player,1,4,306,0
3.1_fixed_no_traps,AgentB_solo,player,1,5,321,0
3.1_fixed_no_traps,AgentB_solo,player,1,6,320,0
3.1_fixed_no_traps,AgentB_solo,player,1,7,315,0
3.1_fixed_no_traps,AgentB_solo,player,1,8,309,0
3.1_fixed_no_traps,AgentB_solo,player,1,9,303,0
3.1_fixed_no_traps,AgentB_solo,player,20,1,227,0
3.1_fixed_no_traps,AgentB_solo,player,20,10,233,0
3.1_fixed_no_traps,AgentB_solo,player,20,2,235,0
3.1_fixed_no_traps,AgentB_solo,player,20,3,231,0
3.1_fixed_no_traps,AgentB_solo,player,20,4,239,0
3.1_fixed_no_traps,AgentB_solo,player,20,5,230,0
3.1_fixed_no_traps,AgentB_solo,player,20,6,228,0
3.1_fixed_no_traps,AgentB_solo,player,20,7,239,0
